1;Misty Walton
2;Ianis Hayes
3:Dominykas Kidd
4;Kali Savage
5;Mathew Porter
6:Priscilla Marshall
10;Caio Thornton
11;Kaylem Mcbride
12;Austin Christian
7;Fiza Harper
8;Rhiana Murphy
9;Charis Moreno
13;Darryl Winter
14;Taran Smith
15;Haseeb Fellows
16;Angela Young
17;Virgil Brown
18;Naomi Hutchings
19;Georga Andrews
20;Ralph Black
21;Jada Benton
22;Sylvia Hood
23;Cherie Tomlinson
24;Lacie-Mae Contreras
25;Adele Bowen
26;Colby O'Ryan
27;Efan Kane
28;Bartosz Tillman
29;Faiza Bishop
30;Kayley Whitmore
31;Bradley Mack
32;Wanda Escobar
33;Sunil Cassidy
34;Sade Redfern
